by National Association of REALTORS,Business & Finance,"['""Alexa, ask Economic Indicators what is the value of Gross Domestic Product""', '""Alexa, ask Economic Indicators what is the Civilian Unemployment Rate""', '""Alexa, ask Economic Indicators what is the value of Existing Home Sales""']","Economies around the world change in an instant. As such, it can be difficult to follow global economic conditions. However, with Indicators you can quickly and easily keep up with the state of the economy. We support tens of thousands of data series, including GDP, the Unemployment Rate, Median Household Income, Existing Home Sales, and the Federal Funds Rate.",economic indicators,5.0 out of 5 stars,0%,0%,0%,0%,100%,2,1503582583.9593678,Indicators
by empeewin,Business & Finance,"['""Alexa, ask stock buddy to give a quote for google""', '""Alexa, ask stock buddy amazon""', '""Alexa, ask stock buddy to add facebook""']","Grab any stock symbol or say a company name to find its current trading price without looking it up. Checking how a stock is doing has never been easier and all you have to specify is the company name or its symbol! NEW FEATURES:Alexa, tell stock buddy to add AMZNAlexa, ask stock buddy for portfolioDetails: Tell stock buddy to add a stock to your watch portfolio by saying: ""Alexa, tell stock buddy to add facebook""Then say:""Alexa, ask stock buddy how i'm doing"" or ""Alexa, ask stock buddy for my portfolio""And she will grab all stocks in your portfolio at once!Please review and provide suggestions in the review to improve this skill. I will check often and provide updates:)",stock buddy,4.0 out of 5 stars,0%,0%,50%,0%,50%,2,1503582591.3776112,Stock Buddy
by Fidelity Investments,Business & Finance,"['""Alexa, Ask Fidelity to get a quote for Amazon""', '""Alexa, Ask Fidelity for a market update""', '""Alexa, Ask Fidelity for today\'s market movers""']",No long description available.,fidelity,2.7 out of 5 stars,31%,24%,24%,9%,12%,42,1503582598.6920755,Fidelity Investments
by Q4 Inc,Business & Finance,"['""Alexa, ask Q4  for my stock update""', '""Alexa, ask Q4 about my recent web analytics""', '""Alexa, ask Q4, what the market is doing today""']","Access the power of Q4 Desktop with Alexa for fast, accurate, and actionable market data, financial information and more.  Skill Details: All you need for set up is your Q4 Desktop credentials and an existing Q4 product subscription. If you're new to Q4, please contact sales@q4inc.com for assistance.  Here are some examples of what you can do with Alexa: Analytics: Alexa, ask Q4 about my recent web analytics.Stock Information: Alexa, ask Q4 , how my stock is performing.Activity: Alexa, ask Q4 to log a meeting.NLP: Alexa, ask Q4 how the marketing is performing today.  About Q4 Inc.:  Q4 is a global leader in cloud-based investor relations and capital market solutions. Our full suite of IR products including websites, webcasting, CRM and workflow, and intelligence solutions arm our customers with the insights and tools they need to better understand the capital markets, engage with their investors, and experience a seamless workflow. Visit www.q4inc.com to learn more.",q. four,0,0,0,0,0,0,0,1503582627.3414204,Q4 Desktop
by Bloomberg,Business & Finance,"['""Alexa, open Bloomberg""', '""Alexa, ask Bloomberg to Play Live T.V.""', '""Alexa, ask Bloomberg how TESLA is doing today.""']","Get the latest business and market updates from the Bloomberg Skill- quotes, indices, market movers, live Bloomberg TV, and more - with no authentication or login required.- Stock prices with charting for US companies- Updates on US and World indices- Bloomberg's Market Minute- Bloomberg Live TV (Available on Echo Show) - Bloomberg's Market Summary Video (Available on Echo Show)Launch the skill by saying ""Alexa, Open Bloomberg."" With your Echo Show, you can view stock and indices charts, watch live TV by asking , ""What is the latest stock price for GE,"" ""How are the global markets doing today,"" or ""Watch Bloomberg TV.""We would love to hear from you! For comments, questions or suggestions, send us a note: btvproblem@bloomberg.net.",bloomberg,2.7 out of 5 stars,32%,16%,21%,10%,21%,19,1503582629.8376036,Bloomberg
by Brightspark Software,Business & Finance,"['""Alexa Open bullion today""', '""What is the price of Gold""', '""Get me Gold and Silver prices""']","Bullion today will provide you today's Gold and Silver prices published by London Bullion Market Association. This skill is not sponsored or endorsed by London Bullion Market Association.Ask Bullion today for - ""todays gold price"" or ""todays gold and silver price""",bullion today,4.5 out of 5 stars,0%,0%,0%,50%,50%,2,1503582645.1082308,Bullion Today
by Safeco Insurance,Business & Finance,"['""Alexa, open Insurance Advisor""', '""Alexa, ask Insurance Advisor what does liability mean?""', '""Alexa, ask Insurance Advisor to help me find an insurance agent""']","Confused by insurance? Insurance Advisor by Safeco is here to help! Alexa can answer questions you may have like, “What is umbrella insurance?” as well as assist in finding a quote by connecting you with a top-rated Safeco agency in your area. Think of it as your personal insurance concierge!So, how does it work? It’s simple. Start by saying, “Alexa, open Insurance Advisor.” Easy, right? Next ask Alexa to define a term from our glossary or find a local insurance agent and she’ll take care of the rest. Check out some examples of ways you can talk to Alexa below:• Alexa, ask Insurance Advisor what does liability mean?• Alexa, ask Insurance Advisor to help me find an insurance agent• Alexa, tell Insurance Advisor I have an insurance question.Insurance Advisor will make you an insurance whiz in no time at all! It’s yet another way that Safeco Insurance keeps its promise in making insurance easy for you. Since 1923, we’ve been protecting individuals and families with personal insurance for home, auto, boat and other valued possessions. We pride ourselves in connecting you with local independent agents who offer ease, choice, advice and above all—are there for you.",insurance advisor,5.0 out of 5 stars,0%,0%,0%,0%,100%,2,1503582657.8376684,Insurance Advisor
by Cold Winter Development,Business & Finance,"['""Alexa, ask litecoin price What is the price of Litecoin""', '""Alexa, ask litecoin price to give me the price of litecoin""', '""Alexa, ask litecoin price to give me litecoin price""']",Ask and receive the spot price of Litecoin based on Coinbase's current financial data for the cryptocurrency.,litecoin price,0,0,0,0,0,0,0,1503582665.143149,Litecoin Price
by Ryan Pfister,Business & Finance,"['""Alexa ask local deals what are nearby deals""']",Get a deal from a business in your area.Deals provided by Groupon. This skill is not officially sponsored by Groupon.,local deals,0,0,0,0,0,0,0,1503582667.4723413,Local Deals
by Help Me Buy My New Home LLC,Business & Finance,"['""Alexa, open Help Me Buy My New Home""', '""Give me homes with between three and four bedrooms""', '""Show me M. L. S. number 758850""']","Search listings in the Northwest Florida area currently for sale. No sign-up required -- just add our skill and say open Help Me Buy My New Home. You can set as broad or narrow of a search that you would like. Ask for results after just one search term and see what all is on the market for sale or add another search term when asked. If you would like to add another property characteristic, you can ask for another search term to be added. Want to look at just three bedrooms? Say it, don't click it. Want to locate listings in a certain city or on a particular street? Say it, don't click it. What you're looking for can be found by property address or M. L. S. numbers as well. Say it, don't click it. Help Me Buy My New Home, changing the way you search for real estate. Say it, don't click it.To perform a property characteristic search, say something like ""search for homes with between three and four bedrooms."" Once you tell Alexa your first property characteristic, she will tell you the number of properties for sale that match that characteristic, and then ask if you want to add another characteristic or hear the list of properties matching your search. You can keep adding property characteristics, one at a time, until you are satisfied with your search. Once you are ready to hear your search results, Alexa will read a short description of each property; you can check the Alexa app for more details on each listing. For best results, do not try to mix property characteristics in a single statement. Currently, the skill supports the following property characteristics:square footage: some examples are ""give me properties with at least 1800 square feet"" or ""show me listings with between 1000 and 1200 square feet."" Make sure to say the words ""square feet.""year built: some examples are ""look for properties built after 2000"" or ""tell me about houses built before 1990."" Currently the skill only supports actual year built, not age, so statements like ""search for properties that are at least ten years old"" will not work.price: some examples are ""give me information about properties that cost between 200,000 and 300,000 dollars"" or ""give me info on homes that cost at most 1,000,000 dollars."" Make sure to say the word ""dollars."" number of bedrooms: some examples are ""look for properties with 3 bedrooms"" or ""give me listings with between 5 and 7 bedrooms."" Make sure to say the word ""bedrooms.""number of bathrooms: some examples are ""search for houses with more than 2.5 bathrooms"" or ""tell me about listings with between 3 and 4 bathrooms."" Make sure to say the word ""bathrooms.""city: some examples are ""give me properties in Destin"" or ""search for listings in Santa Rosa Beach."" Most cities along the Emerald Coast of Florida are supported.property type: some examples are ""show me mobile homes"" or ""tell me about condos"" or ""give me information on houses"" or ""search for commercial sales.""You can change property characteristics without beginning a new search. For example, if you previously said ""search for properties with at least 5 bedrooms"" but Alexa found no properties, you can say ""show me properties with at least 3 bedrooms"" while leaving all other property characteristics the same. You can continue adding and changing parameters and hearing search results, or say ""new search"" to begin a new search.To perform an M. L. S. number or property address search, say something like ""tell me about property address 5437 Griffith Mill"" or ""show me information on M.L.S. number 768746."" If a property currently for sale matches that property address or M. L. S. number, Alexa will read a short description about that property and then exit the skill; you can check the Alexa app for more details on that listing. Follow along with the Alexa app on your mobile device to see what Alexa hears. Go to Settings, then History in the Alexa app.",help me buy my new home,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582669.896786,Help Me Buy My New Home
by Doug Devitre International Inc.,Business & Finance,"['""Alexa open real estate terms""', '""tell me about abandonment""', '""tell me about agreement of sale""']","A real estate transaction can be confusing, especially if you aren't familiar with the terms and how they are used to describe complex steps in the transaction. John Reilly, a 45 year veteran real estate attorney and Doug Devitre, a visionary in real estate training delivery have assembled the most comprehensive on-demand real estate dictionary to empower real estate agents, homeowners, and suppliers to the transaction.",real estate terms,0,0,0,0,0,0,0,1503582678.0585046,Real Estate Terms
by Matt Calhoun,Business & Finance,"['""Alexa, ask My Gold Wallet how much is gold?""', '""Alexa, ask My Gold Wallet my balance.""', '""Alexa, ask My Gold Wallet list my wallets.""']","Get the current value of your gold, silver, and platinum holdings. Your holdings can be divided into metal-specific 'wallets' however you want. For instance, you can create a gold wallet called 'Eagles' and a gold wallet called 'Maples'. Asking this skill to 'list my wallets' would then give you the values of your eagles and maples separately. Or, asking this skill 'my balance' would total them up for you.To change how your metal wallets are grouped, or to add/remove holdings, simply disable and re-enable this skill, and you'll be able to provide a new set of holdings.",my gold wallet,0,0,0,0,0,0,0,1503582680.9516962,My Gold Wallet
by Coldwell Banker,Business & Finance,"['""Alexa, Open Gen Blue News.""', '""Alexa, Launch Gen Blue News.""', '""Alexa, Ask Gen Blue News, What\'s New?""']","Follow the latest Coldwell Banker news and real estate trends from Coldwell Banker Gen Blue, including best practice tips, brand updates and special broadcasts from real estate thought leaders. In about 60 seconds, get an update on what matters and how it impacts your business.To get started, simply enable the skill and ask Alexa to “Open Gen Blue News.”",gen blue news,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582683.47741,Coldwell Banker Gen Blue News
by Coldwell Banker,Business & Finance,"['""Alexa, open Coldwell Banker.""', '""Alexa, ask Coldwell Banker what is the Home of the Week?""']","Every week is a new adventure! From beach houses to mountain retreats, Coldwell Banker takes you inside some of the world’s most luxurious homes with a weekly audio tour. Tune in each week to be transported to a new magnificent property listed by Coldwell Banker Real Estate.To get started, simply ask to hear the Coldwell Banker Home of the Week and allow the skill to access your device address to receive information about your local Coldwell Banker office.Once you’ve enabled the skill, just ask Alexa to “Open Coldwell Banker.”",coldwell banker,5.0 out of 5 stars,0%,0%,0%,0%,100%,7,1503582691.7618718,Coldwell Banker Home of the Week
by delab,Business & Finance,"['""Alexa, ask Stock Trigger to notify me when Amazon reaches 3 percent higher""', '""quote Microsoft""', '""Alexa, ask Stock Trigger to add Boeing to my favorites""']","Set price notifications on S&P 500 or Russell 1000 company stocks. You can set a trigger and get notified in realtime on your phone/email when your price thresholds are crossed. You can also get stock quotes, maintain your stock favorites and compare stocks against each other. Careful though, our stock quote minion is very opinionated and with a complex personal life. Last but not least, StockTrigger lets you do limited Access/SQL like queries. You can find stocks that changed by specific percentages within the S&P index during last week/month or year. Enjoy.- Tell Alexa to ""Open Stock Trigger"". You will get a list of available StockTrigger actions as a response.- Set a US phone number to receive notifications by saying to Alexa ""Set Phone (Your 10 digit phone number)"". StockTrigger sends a verification link via SMS to make sure we got your phone number right. - Then set a trigger by saying for example ""trigger Walmart at 75.43"" or ""Set notification on Mattel at 5 percent higher"". You are now set up to receive a notification as soon as those prices are crossed.- Get stock quotes in realtime by asking ""Quote Microsoft"" or ""Quote General Motors"".- Add Favorites: Say, ""Add Microsoft to my favorites"". Get the quotes for your favorites by saying, ""Get my Favorites"". - Compare Stocks: Say, ""Compare Microsoft against Amazon"" or ""Compare American Airlines to United"" - Query for price changes: Say, ""Find stocks where prices dropped between 6 and 7 percent last week"". Or ""Find stocks where prices increased more than 6 percent last month""S&P 500 and Russell 1000 stocks are supported for now and a wider selection of stocks is in the works. Stay tuned at https://stocks.pricetrigger.com",stock trigger,3.6 out of 5 stars,13%,20%,0%,7%,60%,15,1503582700.6016223,StockTrigger
by Doug Devitre International Inc.,Business & Finance,"['""Alexa open office policy""', '""how to make fair housing policy""', '""how to make social media policy""']","What's in a real estate office policy? New agents or brokers can ask Alexa about specific parts in order to keep compliant with rules and regulations. Ask Alexa about office hours, personal assistants, smoking policy, advertising policy, social media, and sales meetings. It's all right here. Then it's to up to get clarification from your broker, state license laws, and/or attorney to take preventative action when conducting real estate in your market.",office policy,0,0,0,0,0,0,0,1503582714.9481988,Office Policy
by Matt Calhoun,Business & Finance,"['""Alexa, ask My Crypto Wallet my balances""', '""Alexa, ask My Crypto Wallet list my wallets""', '""Alexa, ask My Crypto Wallet how much is bitcoin""']","My Crytpo Wallet enables you to easily check the balances of Bitcoin and Ethereum addresses, as well as current exchange rates of both cryptocurrencies. Any number of public addresses can be tracked, including offline and hardware wallet 'watch' addresses.In addition to letting you know balances in Bitcoin or Eth, you are also given the USD (or other selected currency) equivalent, based on current exchange rates.You have the option of adding a 4 digit PIN that must be spoken before your balances are given.When enabling / linking the skill, you will want to have your public wallet addresses handy, so you can paste them in one at a time.The balance information is acquired from public blockchains, using only public addresses.",my crypto wallet,5.0 out of 5 stars,0%,0%,0%,0%,100%,2,1503582717.6903784,My Crypto Wallet
by Azimo,Business & Finance,"['""Alexa, ask Azimo for a rate for Poland""', '""Alexa, ask Azimo what is a rate for Nigeria""', '""Alexa, ask Azimo for a status of my last transaction""']","Keep up with current rates by checking Azimo. Simply say ""Alexa, ask Azimo for a rate for Poland"" and you will get the most recent exchange rate for £100.You can also check status of your latest transactions made with Azimo. Just say ""Alexa, ask Azimo for a status of my last transaction"" and you will get summary of your current money transfer.",azimo,1.0 out of 5 stars,100%,0%,0%,0%,0%,1,1503582725.4125917,Azimo
"by ECapture, Inc.",Business & Finance,"['""Alexa, open My Realtor.""', '""Alexa, ask My Realtor how many rental properties are in Dix Hills.""', '""Alexa, ask My Realtor who is Anthony Robinson.""']","My Realtor, powered by ECapture Inc. will help you find your next home or rental property. My Realtor can provide you with current and detail information of any property in your area.",my realtor,3.0 out of 5 stars,50%,0%,0%,0%,50%,6,1503582732.2628229,My Realtor
by On The Dot Women,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Start each day with 4 minutes of rich, original content celebrating the advancement of women. By profiling relatable female role models and providing relevant statistics that women need to know to advance themselves in business and life, On The Dot is your go-to resource to start your day off right. Professionally recorded audio for your listening pleasure. For past episodes go to onthedotwoman.com. Follow us on social media @onthedotwoman.",No_Invocation,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582741.3801346,On The Dot Woman Flash Briefing
by MortgageCoach,Business & Finance,"['""Alexa, ask Mortgage Coach to get a report""', '""Alexa, open Mortgage Coach""', '""Alexa, ask Mortgage Coach to start a report""']",This skill requires users to log in to an Amazon account prior to using the skill. The skill helps customers generate a customized report on mortgage decision. The skill collects necessary inputs and assists the users during the dialogue to finally generate a suitable mortgage report.,mortgage coach,0,0,0,0,0,0,0,1503582748.317471,Mortgage Coach
by Zach Cotter,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']",Lists current prices of various cryptocurrencies in your flash briefing,No_Invocation,0,0,0,0,0,0,0,1503582750.6847174,Cryptocurrency Prices
by Fox News Channel,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Get the latest business news and top stories from Fox Business, now on Alexa.",No_Invocation,3.8 out of 5 stars,25%,0%,0%,12%,63%,8,1503582757.405778,Fox Business
by TVGla,Business & Finance,"['""Alexa, talk to TVGla""', '""Alexa, ask TVGla to inspire me""', '""Alexa, ask TVGla for top trends""']","Talk with TVGla, and get the low down on an award-winning digital agency that connects people and brands moving at the speed of culture. Learn about us, find inspiration and get top trends by region. For visual inspiration, visit TVGla.com.",t. v. g. l. a.,0,0,0,0,0,0,0,1503582766.408225,TVGla
by Voiceter Pro LLC,Business & Finance,"['""Alexa, ask Tech Valley Concierge for an electrician""', '""Alexa, ask Tech Valley Concierge to find me a lawyer""', '""Alexa, open Tech Valley Concierge""']","Whether you have a simple repair or a big job, looking for a trustworthy attorney? We have the answers. The vendors featured on our concierge skill are used by our agents on a regular basis. This service is free to the consumer.",tech valley concierge,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582769.0077887,Tech Valley Concierge
by Caleb Queern,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Want to know if the web feels fast or slow today? This skill finds the top 25 sites on the internet (http://www.alexa.com/topsites), finds those sites' performance scores using Google Page Speed Insights, and then reads you a summary report.",No_Invocation,0,0,0,0,0,0,0,1503582776.4119656,Is the Internet Fast Yet
by Milan Cermak,Business & Finance,"['""Alexa, ask bitcoin price what is the current Bitcoin price?""', '""tell me the Bitcoin price.""', '""ask Bitcoin price about today\'s price.""']","Ask Alexa to tell you the current price of bitcoin. You can even specify three different currencies - USD (dollars), EUR (euros) or GBP (pounds).",bitcoin price,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582779.0989947,Bitcoin price
by Trilok Tourani,Business & Finance,"['""Alexa, ask unofficial google analytics, how many page views did I get last ...""', '""ask unofficial google analytics, set me up""', '""ask unofficial google analytics, how many page views did I get between 5th ...""']","Account Requirements:- A Google Analytics account which is configured with your website/application. Visit https://analytics.google.com for further details. 1. Alexa, Ask unofficial google analytics to set me up- The skill will ask you to link your account with your google analytics account which can be done on the Alexa app, as soon as you say ""set me up"". 2. Once you have linked the account, please say ""Ask unofficial google analytics, set me up"" The skill will now ask you to choose which website/mobile app (inside google analytics) you want to link with.Start asking your questions related to page views. This skill does not allow you to query for all metrics in google analytics. You can only ask questions about page views to your website. (More metrics will be available like region, country, web browsers,.. in a later version)For example:ask unofficial google analytics, how many page views did I get todayask unofficial google analytics, how many page views did I get between 5th February and 10th Februaryask unofficial google analytics, how many page views did I get a week agoask unofficial google analytics, how many page views did I get since last yearask unofficial google analytics, how many page views did I get from last month-To change to a different view of your google analytics account, just say ""Ask unofficial google analytics, set me up"" or ""Ask unofficial google analytics, initialize""-To stop a session at any time, just say ""stop""There is a small video on how to use this skill in case you still can't make it work.https://youtu.be/GJNsjWM4J-w",unofficial google analytics,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582785.7637043,Unofficial Google Analytics
by Randall Naar,Business & Finance,"['""Alexa, ask BitcoinReporter how much does Bitcoin cost today""', '""What is the price of Bitcoin today""', '""The cost of Bitcoin""']",Bitcoin Reporter is a skill that allows consumers to stay up to date on the latest bitcoin conversion rate in US dollars. To get started just call on the skill and ask for the price of Bitcoin like you would any friend knowledgeable in the world's most popular cryptocurrency.,bitcoin reporter,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582793.0041995,Bitcoin Reporter
by Canis Crypto,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']",CryptoFeed Provides the latest in blockchain related news.Feeds include:*Bitcoinist.com (default),No_Invocation,0,0,0,0,0,0,0,1503582800.0462353,CryptoFeed
by Ivi,Business & Finance,"['""Alexa, ask Crypto Currency C...ecker w...at is t...e current price of bitcoin cas...""', '""Alexa, ask Crypto Currency Checker tell me the price for bitcoin cash""', '""Alexa, ask Crypto Currency Checker to get price for bitcoin cash""']",This skill is designed to help you get the current price of basically any cryptocoin that exists on the market.,crypto currency checker,0,0,0,0,0,0,0,1503582802.3474824,Crypto Currency Price Checker
by Expat Inc,Business & Finance,"['""Alexa, ask Stock Market Sensei how does AMZN look today.""', '""Alexa, ask Stock Market Sensei what about AMZN today.""', '""Alexa, ask Stock Market Sensei where will AMZN be today.""']","Stock Market Sensei gives a stock's most likely low,high,opening & closing prices - daily. So, you are comfortable in making your investment and trading decisions. You can ask Stock Market Sensei for stock predictions of any stock by using the stock's ticker symbol. Stock Market Sensei is powered by the #1 daily stock prediction & training platform www.StockMarketSensei.net .",stock market sensei,2.8 out of 5 stars,45%,22%,0%,0%,33%,9,1503582805.0049868,Stock Market Sensei
by dbstek,Business & Finance,"['""Alexa ask Stock Info AMZN""', '""Alexa ask Stock Info price of MSFT""', '""Alexa ask Stock Info give me price of  FB""']",Stock Info skill provides you the quote of any stock listed on US stock exchange.Note-------The stock quote is provided for informational use only.-It is not intended for commercial use and provider/author is not responsible for your stock investment decisions.- Quotes may be delayed due to market restrictions.-Uses Yahoo Developer YQL API to get current stock information.,stock info,1.7 out of 5 stars,80%,0%,0%,20%,0%,5,1503582814.7253587,Stock Info
by Handelsblatt Global,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Handelsblatt Global is your window into business and politics in Europe, from the heart of its leading economy. More than 260 journalists in 35 countries are dedicated to this mission, unraveling the complexity of the German business world in English, in real time, and with unmatched detail and context. This skill gives you an overview of the latest news on Handelsblatt Global. To view subscription offers, visit:http://hbge.net/alexa",No_Invocation,0,0,0,0,0,0,0,1503582822.9558344,Handelsblatt News Bites
by Morningstar,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Get stock, fund, and ETF picks and tips from Morningstar’s team of investment analysts.",No_Invocation,5.0 out of 5 stars,0%,0%,0%,0%,100%,3,1503582825.3535388,Morningstar
by Affygility Solutions LLC,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']",This flash briefing will present news topics relevant to occupational toxicologists.,No_Invocation,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582833.1811075,Potent Compound Safety
