author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
G20t,1,Pretty darn cool.,2016-03-11,ec326966-bd36-4507-8619-871d3d81cae2,5.0,Capital One,1503627789.159699,Another useful feature for Echo,8
John M.,1,The Skills app tells me I need to clear something up with my account and to log in online to Capital One.Nothing wrong with the account; oh well.,2017-07-19,54672628-4ed9-44e6-ba3d-03240c43530a,1.0,Capital One,1503627789.19567,Can't link,2
Nivek Yrrek,2,"I like this skill, and it seems to keep getting better all the time",2016-11-02,73311771-1f47-4465-8aaa-cebe1bab4212,5.0,Capital One,1503627789.2610474,I like this skill,6
Coyote Pants,0,Working fine for me with Capital One credit card.,2017-06-20,d0f7735c-44c1-41f5-8cbc-eff1a307b71c,5.0,Capital One,1503627789.2872179,Works fine,1
Doug Coleman,0,Works well but can be long winded if you have several savings accounts,2016-10-22,198df117-69bc-40b0-bf25-ed9bce4dbd04,4.0,Capital One,1503627789.3095632,Works well,3
Gyongyver Peszeki,1,Impressive - love how this bank always pushes us forward!,2016-10-10,d450a48e-f0d6-44ed-907c-7c16e96a7570,5.0,Capital One,1503627789.344739,Great - and only the beginning!,3
James H,2,Proxy ErrorThe proxy server received an invalid response from an upstream server.The proxy server could not handle the request GET /authorize.Reason: Error reading from remote server,2017-07-15,b7dcd758-b377-4470-842f-8aa508b3864e,1.0,Capital One,1503627789.3839881,Proxy error on the CO website,0
Tunia,0,Worked flawlessly,2016-10-02,37c23f3d-ce90-4bfd-b1ff-dac540bb989b,5.0,Capital One,1503627789.4022348,Works well,3
L. Zapata,0,Amazing!!! Now I don't have to log in to check balances and payments on my computer or cellphone. I'm really happy 😊,2016-08-05,8e5a9230-a564-4ac5-98a1-4426a9b22179,5.0,Capital One,1503627795.3224056,Peace of mind,8
Madalyn Ainley,0,How useful!!! I've been waiting for skills like this to show up. Made my day. Thanks Capital One :),2016-03-10,dbf3664e-fe7c-48a4-b968-b48fc51f3e05,5.0,Capital One,1503627795.344935,This is what I'm talkin bout!!,6
John Shaw,0,Great skill it I think that you need some extra security on who can ask the question.  Maybe use their voice as a security key or send a request to swiftID to approve,2016-03-30,732d6621-49a7-449b-a891-19d9ae1750ab,5.0,Capital One,1503627795.3650491,Good skill needs better security,5
specialmias,1,Major connection issues but it works as advertised otherwise with capital one 360.,2016-12-08,d201b355-ba43-4e5e-ac28-e94cadf4e22e,3.0,Capital One,1503627795.398848,"Works, simple, needs to specifically note accounts",2
Lee J Richmond,1,"I paired the account with Alexa; however, Alexa lights up with no voice as i ask her to open Capital One and then she grows dark. I paired and unpaired several times with the same result. Does anyone have any suggestions.,. Spotify opened without any issue.",2017-07-13,3522d423-7194-4a48-bee0-ed983b4663ea,1.0,Capital One,1503627795.43729,"I paired the account with Alexa; however, Alexa ...",0
rodney,1,One of my favorite skills. Easy and quick access to my account information.,2017-01-16,1687584a-faee-44f8-ac91-70fdb24ef457,5.0,Capital One,1503627795.481984,Works perfect!!,4
Landon,1,Really conveinient. Would be nice if you could vary the exact verbiage you use when interacting with Capital One.,2016-11-12,e9ea7976-fd13-4493-b934-596e9df01b5a,5.0,Capital One,1503627795.5199099,Great Add,7
Bill Arnold,1,Connected easily and use this one almost daily.,2017-05-13,3cff1032-352f-44a9-8674-7a017a3f0b02,4.0,Capital One,1503627795.5561466,One of my fav skills for echo,4
A. Mena,1,Doesn't work for me. Alexa says my account isn't linked but this skill says it is. Can't get it to work. Tried over 10 times. Very frustrating.,2016-12-20,53f4a21d-2b5c-45bf-8cb9-894fd73a1273,1.0,Capital One,1503627795.604984,Doesn't work,4
Jeffrey Kennett,1,Works great on my Echo.But.I can't get the new Alexa in the Amazon app to open this skill. That doesn't seem very cool. Wherever Alexa is this should work.,2017-03-17,e056d28f-169f-4cd5-829d-92312c9fc5d7,4.0,Capital One,1503627795.628129,Very Easy to Talk W,3
Voravech Nissaisorakarn,1,Works well with me,2016-12-18,69277e0f-ca84-4b2f-be87-c2c31e760978,5.0,Capital One,1503627801.3947911,Great skill. Must have for Capital One customers,2
Rod Hammer,0,"Very nice application.  Once you get the information you need, then ask away!!",2016-10-22,82dd0f05-4ef6-4bc4-b81d-91aeb1049c49,5.0,Capital One,1503627801.4138398,Nice application. Hope more banks will join in,4
shift`,0,Great skill. Very convenient. Happy to be a customer of a bank that's constantly pushing out new technology.,2016-05-12,3d85f6ee-af6e-435d-ad64-1f882a70bd98,5.0,Capital One,1503627801.433631,Great Integration Experience with Alexa,7
grandmasterv,0,Works great! Good work on Capital One on separating themselves and having this Skill.,2016-08-23,d1992ffc-f4cd-4a13-896e-696f8d2f14cd,5.0,Capital One,1503627801.45718,Works great!,4
Rafael Benevides,0,Congrats to Capital one,2016-12-02,fed41a2a-db18-4418-9bd0-30a19a988a9e,5.0,Capital One,1503627801.478951,I loved it.,4
Amazon Customer,0,Simple to use and conv,2016-12-02,dc839010-3c01-4b7f-9a96-d8e6c8b01fbe,5.0,Capital One,1503627801.499182,Awesome,4
Erick,0,Really great way to check up on my account and works flawlessly! Absolutely love it!!,2016-03-11,75a6d33c-6aef-4720-a0b5-b228dde04958,5.0,Capital One,1503627801.518433,Great skill!!,7
Ennvyy,1,"I just tried it out. She confirmed my pin and I had no issue getting my account info. She asks if there is anything else... Saying ""that's all""ended the  season. Seems like a handy skill. Haven't tried the pay Bill part yet but id rather do that myself.",2017-05-05,e63ffcc8-9d8e-4ed4-9c66-42f68640c200,5.0,Capital One,1503627801.551805,Easy to use,1
Kels,1,I love this for quick checking accounts. It's so fast and so helpful for right before I buy something online! It awesome to just ask you account balance and immediately get and answer. So much better than having to look it up or stop what I'm doing to go into the app.,2017-02-05,33b96bcc-3e47-42c0-a5c5-2263479b29d1,5.0,Capital One,1503627801.587803,Love it for quick access to accounts,2
Ish1950,1,"I can't get even get started. It say unable to open windows, disable popup blocker. I have no popup blocker period, on off or otherwise . It would't work in Edge or Chrome. I installed Opera and it still didn't work I'll just wait for Google!",2016-12-21,be37cda7-e04e-46cd-a13f-7ad840e835e0,1.0,Capital One,1503627801.607182,Alexa wasn't the problem,2
P. COOK,1,App Enabled and account linked.  Alexa provided account balances for all 3 of my accounts.,2017-03-03,bf8ead08-4fd9-4e8d-b6e4-7fcead712f24,5.0,Capital One,1503627807.414625,Awesome,4
Duane Kahrs,1,"It doesn't work ! :-(  I enabled it but Alexa says I need to enable...I ask her to enable it she says it's already Enabled...""to use this Skill you can say Alexa, open my Capital One"" but when I do she says I need to enable it ! !",2017-01-07,6e9dc97c-9b5e-4d46-a605-b2768c4fa21d,1.0,Capital One,1503627807.4462721,It doesn't work!: -( I enabled it but ...,2
Minnie,1,Super easy to use plus I love that I can access my account with just my voice. Nice job Capitol One!,2016-10-14,29bbd358-037c-42bc-83bc-516f31c15e86,5.0,Capital One,1503627807.479812,Love it!,3
Blue,0,Love this!,2016-07-16,b4095392-6c09-48e5-b616-9b5d89fa6fc2,5.0,Capital One,1503627807.499607,Awesome,2
Juan Rivera,0,So far so good will get back on this when I make my first payment,2017-01-09,209438e6-89aa-4d08-a2c1-e5a8f0095c1b,4.0,Capital One,1503627807.51911,Good so far,1
Mikester,0,It won't let you make a payment unless one is due so a one time payment any other time of the month is not possible. Lame!!,2016-11-07,4531042d-a2bc-47bd-a014-a93ddb9e9705,2.0,Capital One,1503627807.5391269,Needs improvement to really be useful,5
James West,1,SEEMS THE ONLY OPTION IS TO PAY THE FULL BALANCE OR THE MINIMUM PAYMENT.,2016-09-18,882ac5be-61c0-44d1-83d4-93dd0483a2ed,3.0,Capital One,1503627807.57065,PAYMENT ABILITY,3
Dan,0,"Fo far good., able to check Balance and see recent transactionsWhy can I not ask for the recent transaction by saving checking or saving or credit card? Why do require to tell the last 4 numbers of the account.",2016-05-28,a24379f8-dd87-4902-b8af-a03cd3a90dae,4.0,Capital One,1503627807.5881732,"Very cool, could improve voice commands recent transactions",3
Jeff,0,Fast way to check balance and hear transactions.,2017-02-05,b8782802-5949-41a1-895d-27192da250c8,5.0,Capital One,1503627807.604452,"Easy, fast",1
Frank Duenas Merfalen,0,Wow!!  I love this skill application!  😀👍,2016-07-15,c976460d-67a5-4df6-b16a-c607a6a07dca,5.0,Capital One,1503627807.620735,Quick & Easy,3
Michael Kelley,0,Amazing! I love this app!,2016-07-02,677e29ac-7e45-47a7-a311-3cf8fe39f567,5.0,Capital One,1503627813.3441439,Awesomeness!!!!,3
Special K,0,Works perfectly,2016-03-11,d48b4ce1-ca7f-4b84-94aa-4844df5ef730,5.0,Capital One,1503627813.36451,Excellent,6
Amazon purchase,0,A Must have!!,2016-07-15,7310b521-d5ce-4e1f-a94a-d0e8c08764f2,5.0,Capital One,1503627813.385026,AWESOME SAUCE😃,3
Tony Davis,0,I have to heard all my balances. This would be annoying if I had 10 or more accounts.,2017-02-01,00d23b43-ab90-49da-abbe-9b3d6369fb13,4.0,Capital One,1503627813.4077759,Great,2
Kevin Smith,0,Worked great for me with an ING/Cap360 account. Haven't tried to pay a bill yet but excited to try.,2016-07-01,dcc1ed25-6aba-4fa2-90de-a4a8f7aa575b,5.0,Capital One,1503627813.4282694,Works as Advertised,7
Amazon Customer,0,Awesome,2017-08-24,3ff81bbe-b356-4e6d-ab36-0025c9c05842,5.0,Capital One,1503627813.447746,thanks,0
J. Alves,1,"Says I have an error and I don't,  don't bother to try",2017-08-08,311e6e60-5195-4a55-ac2c-69de4c78d668,1.0,Capital One,1503627813.472307,Can't link the account,0
RomeGoLARGE,0,So convenient! Information at my fingertips!,2017-03-31,6c1fb6fd-125b-42a5-9f9f-3e4fbfb78207,5.0,Capital One,1503627813.4894571,Absolutely love it!!,1
that phone guy,0,It's great!,2016-03-12,f31be625-e0ff-4f48-8912-8dbdfc32cff8,5.0,Capital One,1503627813.5057228,Money money moooonieee,3
Andrew Berlin,0,Great app! So much easier than using my phone,2016-12-22,3e9a13c6-adf5-423f-819e-cdb948c69226,5.0,Capital One,1503627813.5224528,Convenient and Fast,2
Marion Muscare,0,That's all she ever says. I enabled and linked ok. Bye.,2017-05-28,7de21433-fc6a-4484-abe8-4d72f44c690e,2.0,Capital One,1503627819.324165,"Sorry, Having Trouble",0
absentee,1,This is fantastic.,2016-12-29,4f9efa11-5b8b-4337-a72b-3eec28837b27,5.0,Capital One,1503627819.372726,Love it for our credit card account!,2
Andrew311,0,I love that I have access to my balances and activity quickly,2016-12-15,00f166c7-49bc-4b23-9f92-8c395f9f4b6b,5.0,Capital One,1503627819.3929658,Very cool!,4
steven,0,Works great!  Love it,2017-02-20,afa4d7e8-1283-4864-96e5-afde04cc9b47,5.0,Capital One,1503627819.4259489,Awesome App,1
Amy Mule,0,Glad to start seeing some really useful skills emerge! Great job Amazon and Capital One!,2016-03-12,882f1587-d55c-4ed2-9102-1d4eba79b0e7,5.0,Capital One,1503627819.465235,Great new skill for Alexa!,2
Terren Peterson,0,This is really useful.  It is helpful to be able to check my balance hands free.,2016-04-02,17c07ce6-62dc-4c36-8168-5959efd293cd,5.0,Capital One,1503627819.504439,Helpful App,2
Brian J. Flynn Jr.,0,Love it!,2016-12-29,0c01b26f-13d8-4f74-9d07-8e70f5267dab,5.0,Capital One,1503627819.5331142,Works Great!,2
Amazon Customer,0,Fantastic skill! Awesome to see a bank on the leading edge of tech,2016-03-19,3e4ed522-680c-401f-9d58-2f8e9cbbdf84,5.0,Capital One,1503627819.55456,Great skill,2
The Sashman,0,I put in the correct login information.  It said it was wrong.  I had my password reset and tried it again.  Still won't work.,2016-03-15,60a52974-9dcb-432b-93fa-a5f28f5c78d7,1.0,Capital One,1503627819.580893,Doesn't Work For Me.,4
Jim D. Combs,0,Love this one of the best Alexa skills. Hoping Chase does this.,2016-03-12,6adf6032-b365-4a45-aabc-1918e7ab3ee9,5.0,Capital One,1503627819.6017456,Very useful.,2
cliff f.,1,It says skill enabled successfully but won't open until I finish and says wait until says successful Alexa says skill enabled but won't open until I finish linking which I did,2017-02-22,0a37158e-f3fb-4abb-b3bd-e734a5a16398,1.0,Capital One,1503627825.310373,Does not work,3
Amazon Customer,0,"Great skill, works perfectly for me.  Kudos Capital One.",2016-03-15,2a7c042a-21ce-45bf-8f14-5f5d86bcf0a0,5.0,Capital One,1503627825.330275,Works great,2
Amazon Customer,0,"Capital One is on top of their game, I'm loving it",2016-04-04,389d6251-f4ef-46b7-807c-a1b5322b8024,5.0,Capital One,1503627825.3501961,Works like a charm,2
Amazon Customer,0,Works great!!! Other credit cards companies take note!!,2016-03-11,dde83544-0461-4498-b6b0-33a72c64bd61,5.0,Capital One,1503627825.369898,Great stuff!!,2
Daisy,0,"I love Capital One!! Always at the forefront of everything, just like Amazon! Very useful and excuted well for such early stage technology. Can't wait to watch this evolve even more. Thanks to my two favorite companies!",2016-04-30,4721120e-d8f3-4a08-a539-7f141060c25f,5.0,Capital One,1503627825.393613,Awesome,3
Matt,0,Awesome!  Nice job Capital One!,2016-08-26,95336969-2695-4a6c-b357-08d45ae901d8,5.0,Capital One,1503627825.417095,Simple and Secure - Great Skill!,4
M. Sullivan,0,I wish other banks would do this!,2016-03-14,0e385299-6209-407b-b2b3-0898e6eb3a0c,5.0,Capital One,1503627825.437539,Great!,2
Right Hand,0,One of the few useful skills that really works and is not to cumbersome to use. I hope other financial institutions jump on the bandwagon. Great skill,2016-03-22,ed38501c-e0f6-4e4a-98c1-c344f464325c,5.0,Capital One,1503627825.459098,One of the few skills that's easy to use and works.,1
Hetal Pandya,0,Awesome!,2016-03-15,56cf1818-eaa5-4262-af21-bd83b833c330,3.0,Capital One,1503627825.478761,Great!,2
Amazon Customer,0,Cool new way to interact with my finances!!,2016-03-11,54a784c5-1b0b-438d-bdba-795c024fe562,5.0,Capital One,1503627825.498333,Great new skill,4
K. Browning-mezel,0,So easy to make a payment. Love this!,2016-12-29,ae2c84f6-73d1-437e-be1d-9af29dd13c5d,5.0,Capital One,1503627831.531017,Fast easy payments,1
Amazon Customer,0,Great Skill! This is the most useful skill yet for Echo. Had the option to CHANGE the payment amount been available I woul given 5 stars.,2016-03-24,28a84f03-df02-43f4-ac8b-b740ebb5cfe2,4.0,Capital One,1503627831.564824,Best Skill,3
Sibish,1,Keep saying the skill is locked even though I linked and relinked. Not able to use the skill.,2017-06-29,fdf2985f-bb01-46c4-9a63-91da37aae2bd,1.0,Capital One,1503627831.6054142,Skill locked,0
Ron Reinholt,1,Acknowledges and asks for pass key then stops.,2017-01-11,1cf76f45-e395-4ea1-95e9-bc225c36f12f,1.0,Capital One,1503627831.6487749,Doesn't work,3
Ed Blazejewski,0,This is a very cool skill!  Thanks Capital One!,2016-07-17,df89a030-3dfe-4d69-9781-c7a79a5aa1c2,4.0,Capital One,1503627831.677932,One of the best skills,1
Amazon Customer,1,"Excellent, just like Capital One!",2017-08-10,2cac4bd8-14a6-4bc9-8943-ebf5ad5f9c2e,5.0,Capital One,1503627831.710592,Excellent,0
Joshua Kegley,0,Awesome app! Love that it tells me all the balances.,2016-10-19,e1e42da4-2f3d-440e-bcdd-7127b04be92e,5.0,Capital One,1503627831.730649,Nice app.,3
Buyerzer0,0,Perfect! This is one of the most useful skills on echo to date!,2016-03-14,fd868151-a352-42c7-aa31-2e2a85cc26e8,5.0,Capital One,1503627831.748781,Perfect!,1
Suhas,1,The best use of technology to innovate how people can interact with their Money. Changing banking for good seems like a reality to me when I see how CapitalOne is utilizing technology to innovate FinTech.,2016-09-01,4e3e347d-1a8b-4b53-9679-9647413d089f,4.0,Capital One,1503627831.7834284,Changing banking for awesomeness,2
Crystal Dean,0,All she ever says is sorry having trouble accessing. It was linked fine. This skill is useless,2017-06-09,72892bf8-8bbe-45ae-9bd2-a8b9881d45b0,1.0,Capital One,1503627831.80075,"Sorry, having trouble.....",0
Larry P. Moreno,0,Hey this is pretty cool,2016-07-02,315065c3-a78a-41b2-94a0-7ed570a12fff,5.0,Capital One,1503627837.581939,Sweeeeet,3
scottlawrencelawson,0,Nice. Worked perfectly the first time!,2016-04-19,9e7ef4e3-1f0e-475f-86af-936032136841,5.0,Capital One,1503627837.600977,What's in YOUR Echo?,3
Scott Totman,0,Love it. Make it do more!,2016-03-12,f2a92213-5eed-41a1-8c21-6d6bcf502aa9,5.0,Capital One,1503627837.6194546,Good stuff,3
shally singh,0,"Echo,  continues to amaze me, learning new skills on a daily base is just perfect!!!Best Money spent ever on any electronics",2016-04-05,a7ddab91-a09e-442c-9038-61b87d7d7f3e,5.0,Capital One,1503627837.638325,Echo is perfect,2
Tracey McCormack,0,So cool!,2016-03-11,85aeb39e-25c5-4b46-852a-a35446742895,5.0,Capital One,1503627837.658356,So cool!,3
Ben Hageman,1,"Keeps asking, over & over for my pass code.",2017-01-12,646ec31b-e8e4-4819-872b-a77bddfa7d78,1.0,Capital One,1503627837.689961,Doesn't work,1
Stephanie Fleming,0,This is the best. Thank you Amazon and Capital One for continuing to be my favorite companies.,2016-04-02,75f82ceb-5036-4dba-bc94-55dbc6373671,5.0,Capital One,1503627837.711373,Well Done!,2
Joseph M.,1,Just keeps saying unable to process your request. Useless app.,2017-04-17,40156f71-c600-4d5c-bdcf-d6cf14686ca0,1.0,Capital One,1503627837.741353,Doesn't work,0
Amazon Customer,1,"Have just setup the skill, but for the last day all I get from Alexa is 'sorry, I'm having trouble, please try again in a little while'. Have deleted and reenabled skill countless times. Nothing...",2017-02-22,34a78085-edec-4139-b480-82edb74fbff4,1.0,Capital One,1503627837.777811,"Sorry, I'm having trouble...",5
Doug Toppin,0,Convenient and innovative use of the Echo. No complaints so far.,2016-03-12,fd58a67b-9c3b-4315-9cb5-deaf8a95a14a,5.0,Capital One,1503627837.801991,Another example of innovation,2
Jack,0,Works great for my savings account but apparently doesn't support loans. Would be great to be able to pay my auto loan and get principal amount.,2016-03-14,9a3ca85b-a2f6-4dd9-8972-3a6ac50abae7,4.0,Capital One,1503627843.4684381,Please Support Loans!,1
B. Mathias,1,Says I need to allow pop up on Alexa but doesn't explain how,2017-07-17,bc853ee0-49c9-4fed-8939-0d7d6909777d,1.0,Capital One,1503627843.5015428,One Star,0
James Stuckey,1,It was doing what it was supposed to do until one day I asked it for my balance and it said I had to enable the skill and connect it again.,2017-01-31,9a3b1ab1-b10c-4326-93bf-713bf24f86f2,3.0,Capital One,1503627843.53203,It disconnected from echo,0
wesley,0,Works for me,2016-12-05,c485d1f7-7764-4e9a-8fe5-39543b3e637f,5.0,Capital One,1503627843.552906,Does what it's suppose to.,3
Karen Moore,1,I have a credit card as well as a car loan but the car loan is in my husbands name as well so it will not allow me to open both my credit card and my car loan and it will not allow me to have more then one Capital one accounts on Alexa,2017-01-21,ce4d2e3e-67a9-4f96-b4fe-cc78d458beaa,2.0,Capital One,1503627843.588491,Car loan,2
Sean Kalman,0,Awesome,2016-08-25,8530d6a8-ebc0-44cf-b709-b24fcba1ed27,5.0,Capital One,1503627843.610833,Awesome!,3
